ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Microbispora	0	0	0	0	0	0	0	0	0	0	0	1.30169	0.063879	0	0.802097
Mongoliimonas	0	0	0	0	0	0	0	0	0	3.55467	0.778929	26.3962	0.821393	1.12269	1.79178
Mongoliitalea	45.89	12.3201	21.4722	51.8165	59.0501	27.7092	22.3193	41.5226	44.893	11.9395	10.1296	20.4016	2.10942	1.75106	1.70478
Mucilaginibacter	0	0	0.139084	0	0.129032	0	0	0	0	1.85721	0	0	0.237951	0.490614	0.53755
Myroides	30.6828	7.33821	13.8702	22.9011	36.6237	12.6213	11.3552	21.8882	25.967	6.11002	9.41326	13.8442	1.20027	1.09596	1.00951
Nitratireductor	7.843995	0.918445	2.156945	8.55624	5.902687	0.987278	17.186209	102.628141	58.838536	295.921557	349.956419	401.242077	502.927007	1472.528419	727.246561
Nitrosomonas	3.15203	0.429871	1.01896	3.85414	2.01453	0.26833	5.5662	32.1998	13.7523	13.8715	18.8824	2.94748	35.118	20.7159	19.1106
Nitrospinaceae	0	0	0	0	0	0	0	0	0	20.2804	22.3407	27.7779	92.4037	129.039	93.2763
Niveibacterium	0.011938	0	0	0	0	0	0.031967	0	0	1.38994	0.622497	16.659	0.439219	0.961352	1.07968
Nocardioides	0	0.020102	0	0	0	0	0.106792	0	0	0.327452	0.12667	12.118354	0.111668	0.109912	0.970138
Notoacmeibacter	2.63198	0.332258	1.59053	6.17236	3.51368	0.980167	11.1766	64.9739	24.5311	22.29614	25.9048	6.003353	57.488026	33.396462	30.394807
Noviherbaspirillum	0	0	0	0	0	0	0	0	0	1.47834	0	1.4581	0.6362	0.589092	1.05096
Novosphingobium	0	0	0	0	0	0	0.226403	0.737239	0.809076	1.27702	0.910366	20.6621	1.120222	1.081368	1.32621
Oceanibaculum	0	0	0.011763	0	0	0.063344	0	0	0	1080.93215	16.375726	22.099298	133.086583	4.02224	1.54657
Oceanicaulis	0	0	0.069428	0.106466	0.061576	0	0.098557	0	0.088762	226.44328	77.689152	107.03655	18.568334	11.954021	43.530321
Oceanicella	0	0	0	0	0	0	0	0	0	0.073186	0.341344	1.50532	1.34585	5.3325	8.4634
Oceanicola	2.29791	0.288209	1.38885	4.55444	2.96644	0.516999	7.14454	41.3373	22.878	21.615809	22.231236	10.501411	43.104232	31.166976	32.794611
Oceaniovalibus	0	0	0	0	0	0	0	0	0	0.246999	0.196559	1.73517	1.22185	4.57989	7.30365
Oceaniradius	130.87862	17.190311	59.873966	278.35548	151.97125	41.574635	409.86287	2374.6905	1171.892	977.7669	1118.2517	251.6611	2364.20216	1405.381658	1199.44268
Oceanomicrobium	0	0	0	0	0	0	0	0	0	12.3844	0.127703	2.61374	2.24189	0.102714	1.32283
Ohtaekwangia	0	0	0	0	0	0	0	0	0	0	14.5369	5.83317	0.016086	0.939899	1.02461
Oleisolibacter	0	0	0	0	0	0	0	0	0	2.25764	0.451526	14.0182	0.496599	0.795902	0.790011
Oricola	29.26117	4.157299	13.188342	58.8809	33.17498	6.99837	82.65784	488.0268	239.1667	238.11577	241.444296	56.865898	493.910161	282.203694	255.133879
Other_Acetobacteraceae	0	0	0	0	0	0	0	0	0	2.29918	0.120815	1.99632	0.179934	0.128434	0.070708
Other_Acidimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	15.835085	2.825995	0.063059	23.2769
Other_Acidimicrobiales	0	0	0	0.37484	0.250424	0.218748	0	0	0	1.09587	0	49.888356	7.524343	1.398629	63.650667
Other_Acidithiobacillaceae	0	0.018842	0	4.366882	0	37.321726	2.964383	12.984382	13.402728	38.872643	7.236835	56.103828	0.967146	1.080086	0.08836
Other_Acidithiobacillales	0	0	0	0.335624	0	0.195744	0	0	0	0.491956	0	0.406305	0	0	0
Other_Acidobacteriota	0	0	0	0	0	0	0	0	0	2.755925	0.75472	25.235569	0.624777	0.979152	3.100227
