ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
T01	55.436905	177.504767	146.696931	95.737531	117.79858	16.462992	71.66483	189.989663	58.504861	102.483689	22.280006	95.813586	149.82858	72.559597	112.728127
T01A	0	31.284775	5.722655	33.911476	11.45868	0.077935	30.146081	4.651226	47.582557	13.268308	0.058491	82.587868	3.85851	45.703214	24.08718
T01B	213.909365	241.846741	176.944067	143.638817	232.710677	241.218007	233.005405	238.259862	90.098627	194.360063	229.987759	141.905372	202.7695	110.568457	191.120461
T02	80.189293	134.026742	47.041531	154.400747	99.689446	21.268466	254.526695	72.612055	178.572498	94.837369	42.88649	163.246653	79.761699	153.130654	51.127237
T03	260.852092	431.308057	439.959965	317.060602	375.704739	173.531605	329.302117	404.612784	331.318475	359.779428	205.926249	377.537502	416.030895	318.662569	339.924026
T05	86.651605	88.214756	88.868944	64.651194	82.935679	131.495623	55.290292	116.328408	61.554999	75.933462	132.938109	68.285432	84.346377	61.986721	87.783597
U32	242.061796	83.550256	1.524676	44.968186	25.162393	419.149877	36.654105	1.899215	37.29768	24.433037	355.36752	105.37687	1.545836	43.77479	35.472911
U56	0	2.3021	0.087928	5.175565	0	0	2.233268	0	8.03642	0	0	30.11643	0	12.4504	0
U69	102.050042	107.206353	19.026104	144.254298	53.96349	103.853005	96.806489	141.324308	138.452863	34.652799	96.586149	102.110871	52.187442	110.610934	34.246164
U72	0	1.528958	0	0.414597	0	0	1.053083	0.481474	1.004192	0	0	3.263915	4.84784	1.62962	0
X15	0.948732	0.956606	0	0.160987	0.219577	0	0.147419	1.375183	0	0	0	0.808778	0	0	0.253297
X20	140.762774	150.969386	116.297789	90.273405	129.277617	137.154815	141.973327	147.713376	63.157692	121.396399	136.114577	119.750043	120.497078	76.484056	105.950771
X52	165.279421	165.968464	94.04546	64.727397	96.521487	233.171374	130.474769	105.948362	46.420898	84.838151	201.487418	101.843354	78.047581	55.848154	101.894124
