genus	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Methylomusa	0.001013664	0	0.001012043	0.00302264	0.004039302	0.002020059	0.002023288	0.003038282	0.005066267	0.001016291	0.001009214	0.001010417	0	0.001017822	0.001017915
Desulfitobacterium	0.002027328	0	0.001012043	0.00302264	0.003029477	0.003030089	0.003034932	0.003038282	0.004053013	0.001016291	0.001009214	0.002020835	0	0	0
Salinivirga	0.002027328	0.001012525	0.001012043	0.004030186	0.004039302	0.002020059	0.001011644	0.004051043	0.004053013	0.001016291	0.001009214	0.001010417	0	0	0
Intestinimonas	0	0	0	0	0	0	0	0	0	0.001016291	0.001009214	0.003031252	0.006124324	0.008142577	0.006107492
Cloacibacillus	0	0	0	0	0	0	0.001011644	0.001012761	0.001013253	0.001016291	0.001009214	0.002020835	0.005103603	0.007124754	0.006107492
Panacibacter	0.001013664	0	0.001012043	0.002015093	0.002019651	0.00101003	0.001011644	0.002025522	0.002026507	0.001016291	0.004036856	0.005052087	0.001020721	0.001017822	0.001017915
Parasaccharibacter	0.001013664	0	0	0.001007547	0.001009826	0.00101003	0.001011644	0.004051043	0.002026507	0.004065165	0.002018428	0.002020835	0.002041441	0.002035644	0.002035831
Butyrivibrio	0.002027328	0	0.001012043	0.002015093	0.003029477	0.00101003	0.001011644	0.002025522	0.00303976	0.001016291	0.002018428	0.002020835	0.002041441	0.002035644	0.001017915
Brachyspira	0.002027328	0	0.001012043	0.00302264	0.003029477	0.002020059	0.001011644	0.003038282	0.00303976	0.001016291	0.003027642	0.002020835	0	0	0.001017915
Bibersteinia	0.002027328	0	0.001012043	0.004030186	0.004039302	0.002020059	0.002023288	0.003038282	0.00303976	0.001016291	0.001009214	0.002020835	0	0	0
Sediminispirochaeta	0	0	0	0	0	0	0	0	0	0.005081456	0.011101355	0.006062504	0.001020721	0	0.001017915
Acetilactobacillus	0	0	0	0	0	0	0	0	0	0.001016291	0.001009214	0.002020835	0.006124324	0.008142577	0.006107492
Halalkaliarchaeum	0	0	0	0	0	0	0.001011644	0.001012761	0.002026507	0.002032582	0.001009214	0.001010417	0.005103603	0.00508911	0.006107492
Malassezia	0.001013664	0	0	0.002015093	0.004039302	0.005050148	0.001011644	0.001012761	0	0.001016291	0.003027642	0.003031252	0.001020721	0.001017822	0.001017915
Pasteurella	0.002027328	0	0	0.002015093	0.002019651	0.002020059	0.001011644	0.004051043	0.002026507	0.002032582	0.001009214	0.002020835	0.001020721	0.001017822	0.002035831
Methylovorus	0.001013664	0.001012525	0.001012043	0.001007547	0.001009826	0.00101003	0.002023288	0.003038282	0.002026507	0.003048873	0.001009214	0.002020835	0.002041441	0.001017822	0.002035831
Sulfurihydrogenibium	0.002027328	0	0.001012043	0.00302264	0.005049128	0.002020059	0.002023288	0.003038282	0.002026507	0.001016291	0.001009214	0.002020835	0	0	0
Geminocystis	0.002027328	0	0.001012043	0.004030186	0.004039302	0.002020059	0.002023288	0.002025522	0.00303976	0.001016291	0.001009214	0.002020835	0	0	0
Ndongobacter	0.002027328	0	0.001012043	0.00302264	0.004039302	0.002020059	0.001011644	0.003038282	0.004053013	0.001016291	0.001009214	0.002020835	0	0	0
Pediococcus	0	0	0	0.001007547	0.003029477	0.003030089	0.00505822	0.003038282	0.004053013	0.002032582	0.002018428	0.001010417	0	0	0
Curvibacter	0.001013664	0	0	0	0	0	0	0	0	0.006097747	0.001009214	0.003031252	0.005103603	0.003053466	0.004071661
Salinigranum	0	0	0	0	0	0	0.001011644	0.001012761	0.001013253	0.002032582	0.002018428	0.002020835	0.004082883	0.004071288	0.006107492
Desulfurispirillum	0.001013664	0.001012525	0.001012043	0.001007547	0.001009826	0.00101003	0.001011644	0.002025522	0.002026507	0.001016291	0.002018428	0.001010417	0.003062162	0.002035644	0.003053746
Methylophilus	0.002027328	0.003037575	0.002024087	0.001007547	0.001009826	0.00101003	0.002023288	0.002025522	0.001013253	0.002032582	0.002018428	0.002020835	0.001020721	0	0.001017915
Cercospora	0	0	0	0.002015093	0.002019651	0.003030089	0.003034932	0.002025522	0.005066267	0.001016291	0.001009214	0.001010417	0.001020721	0.001017822	0.001017915
Oscillatoria	0.001013664	0	0	0.002015093	0.001009826	0.00101003	0	0.002025522	0.001013253	0.001016291	0.001009214	0.002020835	0.003062162	0.004071288	0.003053746
Denitrobacterium	0	0	0	0	0	0	0.002023288	0.002025522	0.00303976	0.001016291	0.001009214	0.001010417	0.004082883	0.004071288	0.004071661
Methylovulum	0.001013664	0	0	0.002015093	0.002019651	0.00101003	0.001011644	0.003038282	0.002026507	0.002032582	0.002018428	0.002020835	0.001020721	0.001017822	0.002035831
Rodentibacter	0.001013664	0	0	0.002015093	0.001009826	0.00101003	0.001011644	0.004051043	0.00303976	0.002032582	0.001009214	0.001010417	0.002041441	0.001017822	0.002035831
Aquaspirillum	0	0	0	0	0	0	0.001011644	0.001012761	0.002026507	0.002032582	0.002018428	0.005052087	0.003062162	0.003053466	0.002035831
Cardiobacterium	0	0.001012525	0.001012043	0.001007547	0	0	0	0.001012761	0.001013253	0.003048873	0.001009214	0.002020835	0.004082883	0.003053466	0.003053746
Liberibacter	0	0	0	0.001007547	0.001009826	0	0	0.003038282	0.002026507	0.003048873	0.003027642	0.002020835	0.002041441	0.002035644	0.002035831
Gallaecimonas	0.002027328	0.00202505	0.002024087	0	0	0	0	0.001012761	0	0.003048873	0.001009214	0.003031252	0.004082883	0.001017822	0.002035831
Caproiciproducens	0	0	0	0.001007547	0.001009826	0.00101003	0.001011644	0.002025522	0.002026507	0.002032582	0.001009214	0.001010417	0.002041441	0.003053466	0.004071661
Catenovulum	0	0	0	0.001007547	0	0	0.001011644	0.004051043	0.002026507	0.002032582	0.002018428	0.001010417	0.004082883	0.002035644	0.002035831
Natronobacterium	0	0	0	0	0.002019651	0.00101003	0.002023288	0.001012761	0.00303976	0.001016291	0.001009214	0.001010417	0.003062162	0.003053466	0.003053746
Turneriella	0	0	0	0	0.001009826	0.002020059	0.003034932	0.001012761	0.00303976	0.001016291	0.002018428	0.001010417	0.002041441	0.002035644	0.003053746
Acetobacterium	0.001013664	0	0.001012043	0.002015093	0.003029477	0.00101003	0.001011644	0.003038282	0.002026507	0.001016291	0.001009214	0.002020835	0.001020721	0.001017822	0.001017915
Desulfosporosinus	0.002027328	0	0.001012043	0.00302264	0.003029477	0.00101003	0.001011644	0.003038282	0.00303976	0.001016291	0.001009214	0.002020835	0	0	0
Endozoicomonas	0.004054657	0.0040501	0.004048173	0.001007547	0.001009826	0.00101003	0	0	0	0.002032582	0	0.001010417	0.002041441	0	0.001017915
Torulaspora	0.006081985	0.00607515	0.005060217	0.001007547	0.001009826	0.00101003	0	0	0	0	0	0.001010417	0	0	0
Pseudanabaena	0.005068321	0.00607515	0.00607226	0.001007547	0.001009826	0.00101003	0	0	0	0	0	0	0	0	0.001017915
Salarchaeum	0	0	0	0	0	0	0	0	0	0.001016291	0.001009214	0.001010417	0.005103603	0.006106932	0.006107492
Mediterraneibacter	0	0	0	0	0	0	0	0	0	0.001016291	0.001009214	0.001010417	0.005103603	0.007124754	0.005089577
Megasphaera	0	0	0	0	0	0	0	0	0.001013253	0.001016291	0.001009214	0.001010417	0.006124324	0.006106932	0.004071661
Moritella	0	0.001012525	0	0	0	0	0	0.003038282	0.002026507	0.001016291	0.003027642	0.002020835	0.003062162	0.003053466	0.002035831
Jonesia	0	0	0	0	0	0	0	0.003038282	0.00303976	0.002032582	0.002018428	0	0.004082883	0.003053466	0.003053746
Jeotgalibacillus	0	0	0	0	0	0	0.001011644	0.004051043	0.002026507	0.001016291	0.002018428	0.001010417	0.004082883	0.003053466	0.002035831
Pseudothermotoga	0	0	0	0.001007547	0.001009826	0.00101003	0.001011644	0.002025522	0.002026507	0.001016291	0.001009214	0.002020835	0.004082883	0.003053466	0.001017915
Pleurocapsa	0.001013664	0	0	0.002015093	0.001009826	0.002020059	0.001011644	0.004051043	0.002026507	0.002032582	0.001009214	0.001010417	0.001020721	0.001017822	0.001017915
Lawsonia	0.002027328	0	0.001012043	0.00302264	0.004039302	0.00101003	0.001011644	0.002025522	0.00303976	0.001016291	0.001009214	0.001010417	0	0	0
Pseudobutyrivibrio	0.002027328	0	0.001012043	0.00302264	0.003029477	0.002020059	0.001011644	0.003038282	0.002026507	0.001016291	0.001009214	0.001010417	0	0	0
Sporisorium	0	0	0	0.001007547	0.002019651	0.003030089	0.001011644	0	0	0	0.002018428	0.003031252	0.002041441	0.002035644	0.003053746
Proteiniphilum	0.001013664	0	0	0.002015093	0.002019651	0.00101003	0	0.001012761	0.001013253	0.001016291	0.003027642	0.002020835	0.001020721	0.001017822	0.003053746
Tenuifilum	0.001013664	0	0.001012043	0.002015093	0.003029477	0.00101003	0.001011644	0.002025522	0.002026507	0	0.002018428	0.003031252	0	0	0.001017915
Algicoccus	0	0	0	0.001007547	0.001009826	0.002020059	0.004046576	0.001012761	0.004053013	0.002032582	0.001009214	0.001010417	0.001020721	0	0.001017915
Desulfobacterium	0	0	0	0	0	0	0	0.001012761	0.001013253	0.002032582	0.002018428	0.002020835	0.003062162	0.003053466	0.004071661
Talaromyces	0	0	0	0.001007547	0.001009826	0.00101003	0	0	0.001013253	0.004065165	0.001009214	0.003031252	0.002041441	0.002035644	0.002035831
Hirschia	0	0	0	0.001007547	0	0	0	0.002025522	0.001013253	0.004065165	0.004036856	0.003031252	0.001020721	0.001017822	0.001017915
Lachnoclostridium	0	0	0	0.001007547	0.001009826	0.00101003	0	0.002025522	0.001013253	0.003048873	0.002018428	0.002020835	0.001020721	0.001017822	0.003053746
Leuconostoc	0.001013664	0	0	0.001007547	0.001009826	0.00101003	0.001011644	0.002025522	0.002026507	0.001016291	0.002018428	0.00404167	0.001020721	0	0.001017915
Iodobacter	0.001013664	0	0	0.002015093	0.002019651	0.00101003	0	0.003038282	0.002026507	0.002032582	0	0.002020835	0.001020721	0.001017822	0.001017915
Zhihengliuella	0	0	0	0	0	0	0	0	0	0.002032582	0.001009214	0.001010417	0.004082883	0.003053466	0.006107492
Mesoflavibacter	0.002027328	0	0	0.002015093	0.001009826	0	0	0	0	0.001016291	0.002018428	0.002020835	0.002041441	0.001017822	0.004071661
Haematospirillum	0.001013664	0	0.001012043	0	0	0	0	0.001012761	0	0.007114038	0.001009214	0.002020835	0.002041441	0.001017822	0.001017915
Zhongshania	0.001013664	0.001012525	0.001012043	0.001007547	0.001009826	0.00101003	0.001011644	0	0	0.002032582	0.003027642	0.002020835	0.001020721	0.001017822	0.001017915
